observed_at_utc,temp_c,humidity_pct,dew_point_c,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_dir_deg,rain_mm,rain_rate_mmhr,solar_wm2,uv_index
2026-06-15T07:50:00Z,28.3,88,26.1,1010.6,1.34,2.68,292,0.0,0.0,78,0.5
2026-06-15T08:00:00Z,28.4,88,26.2,1010.6,0.89,3.58,292,0.0,0.0,66,0.1
2026-06-15T08:10:00Z,28.5,88,26.3,1010.7,0.89,2.24,292,0.0,0.0,78,0.3
2026-06-15T08:20:00Z,28.8,89,26.8,1010.8,0.89,2.24,292,0.0,0.0,102,0.5
2026-06-15T08:30:00Z,28.9,89,26.9,1010.8,0.89,3.13,292,0.0,0.0,132,0.7
2026-06-15T08:40:00Z,28.9,88,26.7,1010.9,0.89,3.13,270,0.0,0.0,134,0.6
2026-06-15T08:50:00Z,28.9,88,26.7,1010.9,0.89,3.58,270,0.0,0.0,113,0.4
2026-06-15T09:00:00Z,28.9,88,26.7,1011.0,0.89,3.58,292,0.0,0.0,100,0.0
2026-06-15T09:10:00Z,28.9,88,26.7,1011.0,0.89,3.13,292,0.0,0.0,96,0.0
2026-06-15T09:20:00Z,28.9,89,26.9,1011.0,0.89,3.58,270,0.0,0.0,84,0.0
2026-06-15T09:30:00Z,28.9,89,26.9,1011.2,0.89,3.58,270,0.0,0.0,70,0.0
2026-06-15T09:40:00Z,28.9,89,26.9,1011.2,0.89,3.58,270,0.0,0.0,56,0.0
2026-06-15T09:50:00Z,28.8,89,26.8,1011.2,0.89,2.68,270,0.0,0.0,42,0.0
2026-06-15T10:00:00Z,28.8,89,26.8,1011.1,0.45,1.79,270,0.0,0.0,30,0.0
2026-06-15T10:10:00Z,28.8,90,27.0,1011.3,0.45,2.68,270,0.0,0.0,18,0.0
2026-06-15T10:20:00Z,28.7,90,26.9,1011.5,0.45,2.68,270,0.0,0.0,11,0.0
2026-06-15T10:30:00Z,28.7,90,26.9,1011.5,0.45,2.68,270,0.0,0.0,5,0.0
2026-06-15T10:40:00Z,28.6,90,26.8,1011.6,0.89,2.68,270,0.0,0.0,0,0.0
2026-06-15T10:50:00Z,28.7,90,26.9,1011.8,0.89,3.58,270,0.0,0.0,0,0.0
2026-06-15T11:00:00Z,28.7,90,26.9,1011.8,1.34,3.58,270,0.0,0.0,0,0.0
2026-06-15T11:10:00Z,28.7,90,26.9,1012.0,1.34,3.13,270,0.0,0.0,0,0.0
2026-06-15T11:20:00Z,28.7,90,26.9,1012.3,1.34,3.58,270,0.0,0.0,0,0.0
2026-06-15T11:30:00Z,28.2,89,26.2,1013.1,2.24,6.26,292,0.0,0.0,0,0.0
2026-06-15T11:40:00Z,27.1,88,24.9,1013.0,3.13,6.71,292,0.0,0.0,0,0.0
2026-06-15T11:50:00Z,26.7,89,24.7,1013.4,4.92,8.05,292,0.0,0.0,0,0.0
2026-06-15T12:00:00Z,26.3,90,24.5,1013.4,3.13,6.71,292,1.8,39.0,0,0.0
2026-06-15T12:10:00Z,25.9,91,24.3,1013.6,1.79,5.36,292,3.4,33.4,0,0.0
2026-06-15T12:20:00Z,25.7,91,24.1,1013.6,1.34,3.13,315,3.6,4.4,0,0.0
2026-06-15T12:30:00Z,25.6,92,24.2,1013.6,1.34,3.58,292,4.4,9.4,0,0.0
2026-06-15T12:40:00Z,25.5,92,24.1,1013.5,1.34,4.02,292,4.6,5.2,0,0.0
2026-06-15T12:50:00Z,25.4,92,24.0,1013.6,1.34,3.58,315,4.6,1.0,0,0.0
2026-06-15T13:00:00Z,25.4,92,24.0,1013.6,0.89,2.68,292,4.6,0.0,0,0.0
2026-06-15T13:10:00Z,25.4,92,24.0,1013.7,1.34,3.58,292,4.6,0.0,0,0.0
2026-06-15T13:20:00Z,25.5,92,24.1,1013.9,1.34,3.58,315,4.6,0.0,0,0.0
2026-06-15T13:30:00Z,25.7,92,24.3,1014.1,1.79,3.58,292,4.6,0.0,0,0.0
2026-06-15T13:40:00Z,25.7,92,24.3,1014.3,1.79,3.58,292,4.6,0.0,0,0.0
2026-06-15T13:50:00Z,25.8,92,24.4,1014.2,1.34,3.13,292,4.6,0.0,0,0.0
2026-06-15T14:00:00Z,25.8,92,24.4,1014.2,1.34,3.58,315,4.6,0.0,0,0.0
2026-06-15T14:10:00Z,25.8,92,24.4,1014.2,1.34,4.02,315,4.6,0.0,0,0.0
2026-06-15T14:20:00Z,25.8,92,24.4,1014.2,1.34,4.02,315,4.6,0.0,0,0.0
2026-06-15T14:30:00Z,25.8,92,24.4,1014.4,0.89,3.13,315,4.6,0.0,0,0.0
2026-06-15T14:40:00Z,25.8,91,24.2,1014.5,0.89,3.13,315,4.6,0.0,0,0.0
2026-06-15T14:50:00Z,25.8,91,24.2,1014.4,1.34,3.58,292,4.6,0.0,0,0.0
2026-06-15T15:00:00Z,25.7,91,24.1,1014.5,1.79,4.47,292,4.6,0.0,0,0.0
2026-06-15T15:10:00Z,25.9,90,24.1,1014.4,1.79,4.02,292,4.6,0.0,0,0.0
2026-06-15T15:20:00Z,25.8,90,24.0,1014.5,2.24,4.02,292,4.6,0.0,0,0.0
2026-06-15T15:30:00Z,25.9,90,24.1,1014.4,1.79,4.02,292,4.6,0.0,0,0.0
2026-06-15T15:40:00Z,26.1,89,24.1,1014.3,2.24,4.47,292,4.6,0.0,0,0.0
2026-06-15T15:50:00Z,26.1,89,24.1,1014.3,2.24,4.92,292,4.8,0.0,0,0.0
2026-06-15T16:00:00Z,26.0,89,24.0,1014.2,1.34,4.02,292,0.0,0.0,0,0.0
